"","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample20","Sample6","Sample63","Sample7","Sample8","Sample9"
"0610030E20Rik",170.148,196.997,128.748,117.72,176.036,93.413,138.371,108.956,143.519,125.615,133.805,87.916,161.11,129.921,71.008
"1110002E22Rik",41.764,49.15,31.271,13.08,17.401,43.457,32.945,26.141,17.04,39.574,26.152,30.999,38.074,27.98,16.003
"1110032F04Rik",203.986,358.726,279.812,188.861,312.829,214.068,191.864,361.129,181.464,525.014,207.954,225.252,295.66,560.298,507.025
"1110038F14Rik",294.212,297.85,195.912,284.757,344.067,225.051,252.927,246.949,215.977,236.276,209.461,173.126,278.916,168.136,239.689
"1110059G10Rik",78.77,100.275,69.684,105.069,47.391,67.012,106.718,72.262,105.089,78.185,70.517,58.207,84.702,51.536,73.758
"1500009L16Rik",108.049,154.4,102.788,114.358,75.596,88.79,154.052,105.566,225.38,68.994,99.093,110.235,154.615,70.586,144.97
"1500011B03Rik",1991.589,2568.557,1922.433,2003.996,1796.299,1884.916,2302.903,2070.156,2972.158,2131.981,1733.263,2282.59,2333.522,1661.347,2193.451
"1600014C23Rik",0,0,0,0,0,1.153,0,1.029,0,0,0,0,1.002,2.198,0
"1600025M17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600029I14Rik",1,4.186,3.057,0,3.413,2.458,2.566,1.008,16.596,0,0,6.158,11.653,4.018,1.003
"1700001F09Rik",1.001,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001J03Rik",2.003,0,0,0,0,0,0,0,0,1.006,0,0,0,0,0
"1700001J11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001K19Rik",4.065,8.694,5.031,1.014,2.02,1.398,6.364,7.316,9.303,3.697,1.228,6.155,11.114,2.924,8.206
"1700003E16Rik",633.65,743.265,649.964,489.106,692.165,501.707,775.91,863.128,936.414,873.312,621.13,698.858,902.047,780.42,1181.834
"1700003E24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700009N14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011L22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012A03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013H16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017B05Rik",425.683,585.587,545.446,444.97,479.425,301.91,408.329,500.764,532.345,325.683,638.724,298.876,821.277,295.62,665.73
"1700018F24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020A23Rik",2.042,0,0,0,0,0,1.994,1,2.101,4.62,1.002,3.01,0,1.004,0
"1700020L24Rik",57.326,40.65,17.936,15.733,29.266,10.939,37.262,46.075,44.306,24.494,31.266,16.045,58.825,27.075,28.534
"1700020N01Rik",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1700020N15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024G13Rik",2.019,1,0,0,2.078,2.955,3.203,3.886,13.739,0,7.537,3.54,2.508,0,2.051
"1700025B11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025C18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700028B04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700028J19Rik",5.578,10.134,12.288,5.169,15.436,7.183,4.277,2.012,0,6.929,4.685,7.164,9.649,9.482,7.274
"1700029F12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.023
"1700030J22Rik",99.439,127.985,95.256,90.412,106.912,100.556,108.479,105.202,130.654,104.686,76.354,142.827,103.687,67.372,95.704
"1700031L13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700049E17Rik1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700049E17Rik2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700049L16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700056E22Rik",4.579,1,0,0,2.529,0,5.587,0,6.091,0,1.116,0,8.016,1.021,0
"1700066M21Rik",248.531,281.429,230.622,326.434,214.835,324.233,267.857,209.164,333.421,324.964,209.127,287.221,298.939,200.839,240.055
"1700071K01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700084J12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1700084M14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700122O11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700123K08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700123O20Rik",252.016,323.849,253.446,260.837,217.45,187.181,288.672,247.261,333.997,249.342,302.373,236.898,282.684,196.844,284.538
"1810009J06Rik",0,0,0,0,0,1.063,0,0,0,0,0,0,0,0,0
"1810010H24Rik",73.789,82.254,34.397,13.744,39.728,37.685,58.783,34.076,112.212,41.955,53.167,36.5,106.377,42.52,83.243
"1810024B03Rik",5.074,4.174,2.982,6.069,2.005,0,5.081,0,6,6.015,1,3.005,6.804,5.049,2.013
"1810030O07Rik",299.946,306.879,168.248,240.666,192.856,265.469,195.711,178.717,387.718,183.851,236.018,192.734,261.28,154.537,209.899
"1810055G02Rik",221.576,323.991,233.176,261.046,231.443,129.93,258.6,251.524,202.039,286.713,265.014,235.215,313.03,242.444,254.87
"1810062G17Rik",0,0,0,0,0,0,0,1.001,0,1,0,0,0,3.049,0
"1810065E05Rik",0,0,0,1.285,0,0,0,0,0,0,0,0,0,0,0
"2010003K11Rik",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"2010109A12Rik",0,0,1,0,0,0,0,2.01,1,0,1,0,0,0,0
"2200002D01Rik",8.637,6.14,1.269,8.827,2.28,1.179,0,0,2.656,5.857,4.943,1.369,7.789,6.924,3
"2210017I01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2210408I21Rik",50.007,139.726,54.169,104.328,69.819,119.024,80.355,59.54,146.659,72.4,86.02,98.419,103.578,70.68,92.305
"2210409E12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2300002M23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2300009A05Rik",138.149,171.379,81.324,62.807,97.497,45.689,96.993,82.951,126.722,83.758,140.462,70.944,198.271,83.909,105.995
"2310002L09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310009B15Rik",149.866,185.856,100.964,84.14,134.458,120.861,134.415,146.421,210.663,116.453,141.162,75.765,255.928,100.83,136.402
"2310011J03Rik",1123.654,1124.965,879.54,989.875,899.601,557.723,977.12,913.698,1106.754,1155.981,961.229,941.904,1624.699,827.068,1162.492
"2310022B05Rik",3297.531,3592.851,2034.565,886.605,2072.993,2352.3,2756.496,3294.69,6786.764,1765.732,3336.742,2032.745,3962.241,2039.338,2762.758
"2310030G06Rik",10.845,17.035,11.356,17.817,13.931,14.052,15.133,5.153,20.563,7.314,13.083,34.85,18.844,4.217,15.411
"2310033P09Rik",320.158,379.012,317.513,376.855,287.772,230.616,394.063,384.185,468.482,353.058,265.906,287.752,417.338,240.201,379.806
"2310069G16Rik",208.433,242.606,85.781,61.876,115.052,105.433,126.315,114.835,417.947,124.454,168.122,123.412,202.923,98.991,83.247
"2310079G19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2510039O18Rik",1289.272,1328.33,1064.132,1174.946,1051.199,567.888,1113.426,1301.647,1740.154,1090.011,1493.8,879.545,2038.584,1080.057,1569.302
"2610008E11Rik",183.995,231.64,165.025,209.361,160.076,207.513,201.611,128.191,233.162,180.548,144.244,184.89,185.631,133.283,145.113
"2610021A01Rik",177.456,197.321,180.442,189.137,113.124,177.733,183.958,136.952,181.554,182.379,179.023,146.222,186.594,119.254,117.775
"2700062C07Rik",93.82,116.412,75.207,99.888,77.734,54.157,90.942,78.964,112.513,75.532,83.341,73.8,100.404,56.007,78.359
"2700097O09Rik",42.099,47.648,22.828,18.39,30.575,13.832,21.567,19.841,25.287,31.577,21.696,16.765,30.414,14.039,13.203
"2900092C05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3110040M04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3425401B19Rik",6.06,2.285,1,0,3.168,1.001,6.026,1.774,4.041,3.025,9.646,5.026,4.888,6.6,1
"3830403N18Rik",1,0,4.065,0,4.112,4.024,1.001,0,0,0,1,0,0,1.001,0
"4833420G17Rik",116.355,113.037,88.794,72.227,107.145,71.932,77.146,59.866,58.484,45.941,84.246,105.182,102.446,41.617,33.967
"4921509C19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4921517D22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4921533I20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4921536K21Rik",5.098,5.847,0,13.939,0,10.601,3.138,3.056,19.514,6.043,1.036,3.895,2.045,3.271,2.064
"4930402F06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930402K13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930407I10Rik",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"4930433I11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930438A08Rik",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"4930449I24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930451I11Rik",0,0,0,0,1.586,0,0,0,0,0,0,2,0,0,0
"4930455H04Rik",0,0,0,0,0,0,0,0,3.002,0,0,0,0,0,1
"4930469K13Rik",0,0,0,0,0,1.673,1,0,3.021,0,0,1.002,0,0,0
